"Eating/Hygeine/Bathroom/Shopping","4/3/18 10:02 PM","4/3/18 10:20 PM","0.3","","","","","",""
"Dating","4/3/18 10:20 PM","4/3/18 11:48 PM","1.47","","","","","",""
"Sleeping/Napping","4/3/18 11:48 PM","4/4/18 6:48 AM","7","","","","","",""
"Dating","4/4/18 6:48 AM","4/4/18 8:00 AM","1.2","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/4/18 8:00 AM","4/4/18 8:52 AM","0.87","","","","","",""
"Education/Reading/Class","4/4/18 8:52 AM","4/4/18 9:11 AM","0.32","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/4/18 9:11 AM","4/4/18 9:20 AM","0.15","","","","","",""
"Education/Reading/Class","4/4/18 9:20 AM","4/4/18 9:49 AM","0.48","","","","","",""
"Shallow Work/Planning","4/4/18 9:49 AM","4/4/18 10:52 AM","1.05","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/4/18 10:52 AM","4/4/18 11:00 AM","0.13","","","","","",""
"Education/Reading/Class","4/4/18 11:00 AM","4/4/18 11:50 AM","0.83","","","","","",""
"Family/Friends/Socializing","4/4/18 11:50 AM","4/4/18 11:55 AM","0.08","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/4/18 11:55 AM","4/4/18 12:20 PM","0.42","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/4/18 12:20 PM","4/4/18 12:50 PM","0.5","","","","","",""
"Education/Reading/Class","4/4/18 12:50 PM","4/4/18 3:59 PM","3.15","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/4/18 3:59 PM","4/4/18 4:31 PM","0.53","","","","","",""
"Shallow Work/Planning","4/4/18 4:31 PM","4/4/18 5:31 PM","1","","","","","",""
"Education/Reading/Class","4/4/18 5:31 PM","4/4/18 6:30 PM","0.98","","","","","",""
"Family/Friends/Socializing","4/4/18 6:30 PM","4/4/18 7:55 PM","1.42","","","","","",""
"TV/News/Entertainment/Music","4/4/18 7:55 PM","4/4/18 10:10 PM","2.25","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/4/18 10:10 PM","4/4/18 10:30 PM","0.33","","","","","",""
"Sleeping/Napping","4/4/18 10:30 PM","4/5/18 7:20 AM","8.83","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/5/18 7:20 AM","4/5/18 7:53 AM","0.55","","","","","",""
"Education/Reading/Class","4/5/18 7:53 AM","4/5/18 7:54 AM","0.02","","","","","",""
"Shallow Work/Planning","4/5/18 7:54 AM","4/5/18 8:04 AM","0.17","","","","","",""
"Education/Reading/Class","4/5/18 8:05 AM","4/5/18 8:11 AM","0.1","","","","","",""
"Education/Reading/Class","4/5/18 8:12 AM","4/5/18 8:41 AM","0.48","","","","","",""
"Shallow Work/Planning","4/5/18 8:42 AM","4/5/18 9:07 AM","0.42","","","","","",""
"Education/Reading/Class","4/5/18 9:07 AM","4/5/18 9:22 AM","0.25","","","","","",""
"Family/Friends/Socializing","4/5/18 9:22 AM","4/5/18 9:29 AM","0.12","","","","","",""
"Education/Reading/Class","4/5/18 9:29 AM","4/5/18 11:50 AM","2.35","","","","","",""
"Shallow Work/Planning","4/5/18 11:50 AM","4/5/18 1:20 PM","1.5","","","","","",""
"Education/Reading/Class","4/5/18 1:20 PM","4/5/18 5:55 PM","4.58","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/5/18 5:55 PM","4/5/18 5:59 PM","0.07","","","","","",""
"Education/Reading/Class","4/5/18 5:59 PM","4/5/18 6:16 PM","0.28","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/5/18 6:16 PM","4/5/18 6:31 PM","0.25","","","","","",""
"Family/Friends/Socializing","4/5/18 6:31 PM","4/5/18 6:44 PM","0.22","","","","","",""
"Sleeping/Napping","4/5/18 6:44 PM","4/5/18 7:05 PM","0.35","","","","","",""
"Education/Reading/Class","4/5/18 7:05 PM","4/5/18 7:35 PM","0.5","","","","","",""
"Deep Work/Deliberate Practice","4/5/18 7:35 PM","4/5/18 7:50 PM","0.25","","","","","",""
"TV/News/Entertainment/Music","4/5/18 7:50 PM","4/5/18 8:03 PM","0.22","","","","","",""
"Education/Reading/Class","4/5/18 8:03 PM","4/5/18 9:31 PM","1.47","","","","","",""
"TV/News/Entertainment/Music","4/5/18 9:31 PM","4/5/18 9:59 PM","0.47","","","","","",""
